klub,dzielnica,source,nawierzchnia,korty_padlowe,cena_min,cena_max,cena_srednia,godz_tydzien,godz_weekend,slotow_dzisiaj,oblozenie_pct,address,slotow_max
Toro Padel,Bemowo,kluby_org,indoor,6,120.0,160.0,140.0,,,40,85.0,ul. Kazubów 14 (Bemowo),304
Loba Padel,Białołęka,playtomic,indoor,8,140.0,140.0,140.0,06:00-23:00,06:00-23:00,248,45.6,"Smugowa 44, 03-032",312
Sporteum,Białołęka,kluby_org,indoor,2,110.0,130.0,120.0,,,0,,ul. Zawiślańska 27 (Białołęka),120
Warsaw Padel Club,Białołęka,playtomic,indoor,11,97.0,97.0,97.0,06:00-01:00,06:00-01:00,363,93.1,"Annopol 3, 03-236",451
RQT Spot,Bielany,playtomic,indoor,6,79.0,120.0,102.0,07:00-00:00,07:00-00:00,198,80.3,"Estrady 13K, 05-080",380
RQT Spot,Bielany,playtomic,outdoor,4,79.0,120.0,102.0,07:00-00:00,07:00-00:00,132,28.8,"Estrady 13K, 05-080",380
Interpadel Warszawa,Mokotów,playtomic,indoor,11,140.0,140.0,140.0,06:00-02:00,06:00-02:00,363,95.0,"Bokserska 66A, 02-690",451
WKT Mera,Ochota,kluby_org,indoor,2,120.0,120.0,120.0,,,10,20.0,al. Bohaterów Września 12 (Ochota),126
Rakiety PGE Narodowy - Padel Outdoor,Praga Południe,playtomic,outdoor,5,160.0,160.0,160.0,07:00-00:00,07:00-23:00,155,81.3,"al. Księcia Józefa Poniatowskiego 1, 03-901",190
TENES Klub Sportowy,Ursus,kluby_org,indoor,3,70.0,110.0,90.0,,,13,100.0,ul. Piwna 13 (Ursus),173
Padlovnia,Ursynów,kluby_org,indoor,7,100.0,160.0,130.0,,,73,83.6,ul. Karnawał 8 (Ursynów),354
Padlovnia,Ursynów,kluby_org,outdoor,4,100.0,160.0,130.0,,,0,,ul. Karnawał 8 (Ursynów),354
San Padel,Ursynów,playtomic,indoor,12,150.0,200.0,188.0,00:00-00:00,00:00-00:00,396,61.4,"Przedsiębiorców 1, 05-500",612
Klub Miedzeszyn,Wawer,kluby_org,indoor,2,120.0,140.0,130.0,,,4,100.0,ul. Bielika 17 (Wawer),92
Rakiety Aero - Padel Outdoor,Wawer,playtomic,outdoor,1,,,,08:00-21:30,08:00-21:30,27,51.9,"Wał Miedzeszyński 646, 03-994",35
Mana Padel,Wilanów,kluby_org,indoor,8,132.0,200.0,164.0,,,89,71.9,ul. Zawodzie 24 (Wilanów),318
TenisWil,Wilanów,kluby_org,outdoor,3,80.0,100.0,90.0,,,3,100.0,ul. Przyczółkowa 210C (Wilanów),154
ProPadel Jutrzenki,Włochy,kluby_org,indoor,5,80.0,80.0,80.0,,,0,,ul. Jutrzenki 12 (Włochy),360
Padel4All Bulwary,Śródmieście,kluby_org,indoor,1,80.0,80.0,80.0,,,0,,,66
