klub,dzielnica,source,cena_za_godzine,description
Interpadel Warszawa,Mokotów,playtomic,140.0,cena z Playtomic API
Klub Miedzeszyn,Wawer,kluby_org,120.0,cena z kluby.org
Klub Miedzeszyn,Wawer,kluby_org,140.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,132.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,140.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,184.0,cena z kluby.org
Mana Padel,Wilanów,kluby_org,200.0,cena z kluby.org
Padel4All Bulwary,Śródmieście,kluby_org,80.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,100.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,120.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,140.0,cena z kluby.org
Padlovnia,Ursynów,kluby_org,160.0,cena z kluby.org
ProPadel Jutrzenki,Włochy,kluby_org,80.0,cena z kluby.org
RQT Spot,Bielany,playtomic,79.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,113.0,cena z Playtomic API
RQT Spot,Bielany,playtomic,119.0,cena z Playtomic API
San Padel,Ursynów,playtomic,200.0,cena z Playtomic API
Sporteum,Białołęka,kluby_org,110.0,cena z kluby.org
Sporteum,Białołęka,kluby_org,130.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,70.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,90.0,cena z kluby.org
TENES Klub Sportowy,Ursus,kluby_org,110.0,cena z kluby.org
TenisWil,Wilanów,kluby_org,80.0,cena z kluby.org
TenisWil,Wilanów,kluby_org,100.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,120.0,cena z kluby.org
Toro Padel,Bemowo,kluby_org,160.0,cena z kluby.org
WKT Mera,Ochota,kluby_org,120.0,cena z kluby.org
Warsaw Padel Club,Białołęka,playtomic,101.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,112.0,cena z Playtomic API
Warsaw Padel Club,Białołęka,playtomic,144.0,cena z Playtomic API
